socket,node,bw
2-3-5-6,2,7845.625
2-3-5-6,3,5820.400000000001
2-3-5-6,4,6937.3
2-3-5-6,5,6699.275
2-3-5-6,6,4862.2
2-3-5-6,7,4480.575
2-3-5-7,0,4211.525000000001
2-3-5-7,1,3788.6249999999995
2-3-5-7,2,7837.65
2-3-5-7,3,6298.4
2-3-5-7,4,5456.200000000001
2-3-5-7,5,7270.55
2-3-5-7,6,4833.275
2-3-5-7,7,5117.525
2-3-6-7,0,4238.05
2-3-6-7,1,3730.5249999999996
2-3-6-7,2,7667.025
2-3-6-7,3,5542.675
2-3-6-7,4,4097.125
2-3-6-7,5,4756.85
2-3-6-7,6,4671.15
2-3-6-7,7,4637.5
2-4-5-6,0,4147.125
2-4-5-6,1,4238.075
2-4-5-6,2,7575.3
2-4-5-6,3,5423.35
2-4-5-6,4,7404.150000000001
2-4-5-6,5,5163.175
2-4-5-6,6,6629.575
2-4-5-6,7,4599.0
2-4-5-7,0,4429.875
2-4-5-7,1,3744.025
2-4-5-7,2,7552.650000000001
2-4-5-7,3,5842.7
2-4-5-7,4,5086.674999999999
2-4-5-7,5,7164.4
2-4-5-7,6,6241.9
2-4-5-7,7,4883.224999999999
2-4-6-7,0,6408.275
2-4-6-7,1,4798.875
2-4-6-7,2,7516.525000000001
2-4-6-7,3,5270.9
2-4-6-7,4,4554.375
2-4-6-7,5,4699.875
2-4-6-7,6,7600.9
2-4-6-7,7,4966.475
2-5-6-7,0,5665.825
2-5-6-7,1,4735.275
2-5-6-7,2,7601.3
2-5-6-7,3,5085.675000000001
2-5-6-7,4,4645.625
2-5-6-7,5,4712.5
2-5-6-7,6,6547.549999999999
2-5-6-7,7,7158.15
3-4-5-6,0,3595.925
3-4-5-6,1,4102.525000000001
3-4-5-6,2,6943.525
3-4-5-6,3,6671.575
3-4-5-6,4,7419.174999999999
3-4-5-6,5,5668.875
3-4-5-6,6,6248.400000000001
3-4-5-6,7,4206.1
3-4-5-7,0,4236.475
3-4-5-7,1,4257.825000000001
3-4-5-7,2,6970.725
3-4-5-7,3,6685.474999999999
3-4-5-7,4,5124.225
3-4-5-7,5,7350.950000000001
3-4-5-7,6,6076.124999999999
3-4-5-7,7,4744.174999999999
3-4-6-7,0,5885.975
3-4-6-7,1,4821.9
3-4-6-7,2,7091.2
3-4-6-7,3,6562.375
3-4-6-7,4,4708.475
3-4-6-7,5,4608.525
3-4-6-7,6,6726.799999999999
3-4-6-7,7,4640.150000000001
3-5-6-7,0,5681.45
3-5-6-7,1,4467.3
3-5-6-7,2,6963.65
3-5-6-7,3,6057.225
3-5-6-7,4,4657.625
3-5-6-7,5,4819.900000000001
3-5-6-7,6,5658.775
3-5-6-7,7,6295.200000000001
4-5-6-7,0,4062.325
4-5-6-7,1,3307.7250000000004
4-5-6-7,2,6997.200000000001
4-5-6-7,3,5588.674999999999
4-5-6-7,4,4582.325
4-5-6-7,5,4495.3
4-5-6-7,6,6554.150000000001
4-5-6-7,7,4196.65
