socket,node,bw
2-3-4-7,2,7607.5
2-3-4-7,3,7387.775000000001
2-3-4-7,4,6064.799999999999
2-3-4-7,5,6907.35
2-3-4-7,6,4377.775
2-3-4-7,7,4301.75
2-3-5-6,0,3763.5249999999996
2-3-5-6,1,3846.2250000000004
2-3-5-6,2,7782.275
2-3-5-6,3,5808.025
2-3-5-6,4,6908.725
2-3-5-6,5,6664.25
2-3-5-6,6,4745.799999999999
2-3-5-6,7,4491.075000000001
2-3-5-7,0,4200.200000000001
2-3-5-7,1,3816.7000000000003
2-3-5-7,2,7790.525
2-3-5-7,3,6300.4
2-3-5-7,4,5406.950000000001
2-3-5-7,5,7242.8
2-3-5-7,6,4768.900000000001
2-3-5-7,7,4780.725
2-3-6-7,0,4208.125
2-3-6-7,1,3728.1499999999996
2-3-6-7,2,7594.0
2-3-6-7,3,5499.275
2-3-6-7,4,4078.45
2-3-6-7,5,4748.525
2-3-6-7,6,5234.475
2-3-6-7,7,4686.775
2-4-5-6,0,4081.825
2-4-5-6,1,4257.45
2-4-5-6,2,7536.3
2-4-5-6,3,5407.725
2-4-5-6,4,7379.575000000001
2-4-5-6,5,5256.15
2-4-5-6,6,6600.475
2-4-5-6,7,4628.4
2-4-5-7,0,4151.55
2-4-5-7,1,3636.2250000000004
2-4-5-7,2,7531.25
2-4-5-7,3,5867.475
2-4-5-7,4,5086.775
2-4-5-7,5,6720.875
2-4-5-7,6,6222.35
2-4-5-7,7,4707.174999999999
2-4-6-7,0,6383.9
2-4-6-7,1,4782.025
2-4-6-7,2,7457.575
2-4-6-7,3,5290.5
2-4-6-7,4,4531.0
2-4-6-7,5,4691.95
2-4-6-7,6,7547.999999999999
2-4-6-7,7,5326.425
2-5-6-7,0,5649.075
2-5-6-7,1,4750.85
2-5-6-7,2,7528.450000000001
2-5-6-7,3,5110.65
2-5-6-7,4,4644.5
2-5-6-7,5,4722.85
2-5-6-7,6,6108.35
2-5-6-7,7,7133.0
3-4-5-6,0,3576.05
3-4-5-6,1,4114.675
3-4-5-6,2,6896.65
3-4-5-6,3,6697.825
3-4-5-6,4,7378.15
3-4-5-6,5,5692.525
3-4-5-6,6,6040.475
3-4-5-6,7,4283.549999999999
3-4-5-7,0,4244.325
3-4-5-7,1,4260.975
3-4-5-7,2,6933.474999999999
3-4-5-7,3,6692.75
3-4-5-7,4,5115.05
3-4-5-7,5,7519.0
3-4-5-7,6,6035.4
3-4-5-7,7,4689.825
3-4-6-7,0,5863.674999999999
3-4-6-7,1,4802.475
3-4-6-7,2,7044.225
3-4-6-7,3,6573.525
3-4-6-7,4,4831.775
3-4-6-7,5,4581.55
3-4-6-7,6,6688.875
3-4-6-7,7,4577.375
3-5-6-7,0,5682.525000000001
3-5-6-7,1,4456.925
3-5-6-7,2,6918.875
3-5-6-7,3,5657.599999999999
3-5-6-7,4,4641.15
3-5-6-7,5,4775.225
3-5-6-7,6,5948.375
3-5-6-7,7,6365.15
4-5-6-7,0,3935.5
4-5-6-7,1,2950.525
4-5-6-7,2,6952.85
4-5-6-7,3,5586.174999999999
4-5-6-7,4,4737.825000000001
4-5-6-7,5,4259.325
4-5-6-7,6,6526.049999999999
4-5-6-7,7,4386.225
