Number of threads: 
Job ID: 2465
Machine: penguin 

/home/jlenis/.bashrc: line 19: .bash_profile: No such file or directory
/usr/lib64/qt-3.3/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/util:/home/jlenis/bin:/opt/intel/bin:/opt/util:/home/jlenis/bin:/opt/intel/bin:/home/jlenis/numa_benchmark/bin/others/pChase/build
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 11: date: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 14: mkdir: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 15: cd: chase-: No such file or directory
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 18: uname: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 19: cat: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 20: cat: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 27: date: command not found
Benchmark initiated at
pointer size (bytes),cache line size (bytes),page size (bytes),chain size (bytes),thread size (bytes),test size (bytes),chains per thread,number of threads,iterations,loop length,prefetch hint,experiments,access pattern,stride,numa placement,offset or mask,numa domains,domain map,operations per chain,total operations,elapsed time (seconds),elapsed time (timer ticks),clock resolution (ns),memory latency (ns),memory bandwidth (MB/s)
8,64,4096,8192,8192,8192,1,1,2199439,25,nta,5,random,1,local,0,1,"0:0",128,128,1.003,38463727,26.08,3.56,17963.557
8,64,4096,8192,8192,8192,1,1,2199439,25,nta,5,random,1,local,0,1,"0:0",128,128,1.002,38427912,26.08,3.56,17980.299
8,64,4096,8192,8192,8192,1,1,2199439,25,nta,5,random,1,local,0,1,"0:0",128,128,1.003,38458765,26.08,3.56,17965.875
8,64,4096,8192,8192,8192,1,1,2199439,25,nta,5,random,1,local,0,1,"0:0",128,128,1.002,38427917,26.08,3.56,17980.297
8,64,4096,8192,8192,8192,1,1,2199439,25,nta,5,random,1,local,0,1,"0:0",128,128,1.003,38465712,26.08,3.56,17962.630
8,64,4096,8192,8192,8192,1,1,2195542,25,t0,5,random,1,local,0,1,"0:0",128,128,1.001,42994125,23.28,3.56,17967.284
8,64,4096,8192,8192,8192,1,1,2195542,25,t0,5,random,1,local,0,1,"0:0",128,128,1.000,42963644,23.28,3.56,17980.031
8,64,4096,8192,8192,8192,1,1,2195542,25,t0,5,random,1,local,0,1,"0:0",128,128,1.001,43000272,23.28,3.56,17964.716
8,64,4096,8192,8192,8192,1,1,2195542,25,t0,5,random,1,local,0,1,"0:0",128,128,1.000,42966458,23.28,3.56,17978.854
8,64,4096,8192,8192,8192,1,1,2195542,25,t0,5,random,1,local,0,1,"0:0",128,128,1.001,42993583,23.28,3.56,17967.511
8,64,4096,8192,8192,8192,1,1,2199582,25,t1,5,random,1,local,0,1,"0:0",128,128,1.002,35865259,27.94,3.56,17981.866
8,64,4096,8192,8192,8192,1,1,2199582,25,t1,5,random,1,local,0,1,"0:0",128,128,1.003,35895615,27.94,3.56,17966.659
8,64,4096,8192,8192,8192,1,1,2199582,25,t1,5,random,1,local,0,1,"0:0",128,128,1.002,35867795,27.94,3.56,17980.594
8,64,4096,8192,8192,8192,1,1,2199582,25,t1,5,random,1,local,0,1,"0:0",128,128,1.003,35892493,27.94,3.56,17968.222
8,64,4096,8192,8192,8192,1,1,2199582,25,t1,5,random,1,local,0,1,"0:0",128,128,1.002,35862247,27.94,3.56,17983.376
8,64,4096,8192,8192,8192,1,1,2191781,25,t2,5,random,1,local,0,1,"0:0",128,128,0.998,48730175,20.49,3.56,17983.173
8,64,4096,8192,8192,8192,1,1,2191781,25,t2,5,random,1,local,0,1,"0:0",128,128,0.999,48773355,20.49,3.56,17967.252
8,64,4096,8192,8192,8192,1,1,2191781,25,t2,5,random,1,local,0,1,"0:0",128,128,0.999,48736309,20.49,3.56,17980.909
8,64,4096,8192,8192,8192,1,1,2191781,25,t2,5,random,1,local,0,1,"0:0",128,128,0.999,48771795,20.49,3.56,17967.827
8,64,4096,8192,8192,8192,1,1,2191781,25,t2,5,random,1,local,0,1,"0:0",128,128,0.999,48739847,20.49,3.56,17979.604
8,64,4096,8192,8192,8192,1,1,2795502,25,none,5,forward,1,local,0,1,"0:0",128,128,1.001,38386421,26.08,2.80,22877.785
