Number of threads: 
Job ID: 2464
Machine: batman 

/home/jlenis/.bashrc: line 19: .bash_profile: No such file or directory
/usr/lib64/qt-3.3/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/util:/home/jlenis/bin:/opt/intel/bin:/opt/util:/home/jlenis/bin:/opt/intel/bin:/home/jlenis/numa_benchmark/bin/others/pChase/build
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 11: date: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 14: mkdir: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 15: cd: chase-: No such file or directory
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 18: uname: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 19: cat: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 20: cat: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 27: date: command not found
Benchmark initiated at
pointer size (bytes),cache line size (bytes),page size (bytes),chain size (bytes),thread size (bytes),test size (bytes),chains per thread,number of threads,iterations,loop length,prefetch hint,experiments,access pattern,stride,numa placement,offset or mask,numa domains,domain map,operations per chain,total operations,elapsed time (seconds),elapsed time (timer ticks),clock resolution (ns),memory latency (ns),memory bandwidth (MB/s)
8,64,4096,8192,8192,8192,1,1,2710264,25,t2,5,forward,1,local,0,1,"0:0",128,128,0.999,45156083,22.12,2.88,22229.082
8,64,4096,8192,8192,8192,1,1,773200,100,none,5,random,1,local,0,1,"0:0",128,128,1.000,45199890,22.12,10.10,6335.497
8,64,4096,8192,8192,8192,1,1,773200,100,none,5,random,1,local,0,1,"0:0",128,128,1.000,45205277,22.12,10.10,6334.742
8,64,4096,8192,8192,8192,1,1,773200,100,none,5,random,1,local,0,1,"0:0",128,128,1.000,45206781,22.12,10.10,6334.531
8,64,4096,8192,8192,8192,1,1,773200,100,none,5,random,1,local,0,1,"0:0",128,128,1.000,45206328,22.12,10.10,6334.594
8,64,4096,8192,8192,8192,1,1,773200,100,none,5,random,1,local,0,1,"0:0",128,128,1.000,45207081,22.12,10.10,6334.489
8,64,4096,8192,8192,8192,1,1,773090,100,nta,5,random,1,local,0,1,"0:0",128,128,1.000,45206962,22.12,10.10,6333.604
8,64,4096,8192,8192,8192,1,1,773090,100,nta,5,random,1,local,0,1,"0:0",128,128,1.000,45214905,22.12,10.11,6332.492
8,64,4096,8192,8192,8192,1,1,773090,100,nta,5,random,1,local,0,1,"0:0",128,128,1.000,45211860,22.12,10.11,6332.918
8,64,4096,8192,8192,8192,1,1,773090,100,nta,5,random,1,local,0,1,"0:0",128,128,1.000,45211768,22.12,10.11,6332.931
8,64,4096,8192,8192,8192,1,1,773090,100,nta,5,random,1,local,0,1,"0:0",128,128,1.000,45207025,22.12,10.10,6333.596
8,64,4096,8192,8192,8192,1,1,772706,100,t0,5,random,1,local,0,1,"0:0",128,128,0.999,45183830,22.12,10.10,6333.699
8,64,4096,8192,8192,8192,1,1,772706,100,t0,5,random,1,local,0,1,"0:0",128,128,1.000,45188146,22.12,10.11,6333.094
8,64,4096,8192,8192,8192,1,1,772706,100,t0,5,random,1,local,0,1,"0:0",128,128,0.999,45186177,22.12,10.11,6333.370
8,64,4096,8192,8192,8192,1,1,772706,100,t0,5,random,1,local,0,1,"0:0",128,128,1.000,45190982,22.12,10.11,6332.697
8,64,4096,8192,8192,8192,1,1,772706,100,t0,5,random,1,local,0,1,"0:0",128,128,0.999,45183782,22.12,10.10,6333.706
8,64,4096,8192,8192,8192,1,1,772630,100,t1,5,random,1,local,0,1,"0:0",128,128,0.999,45184576,22.12,10.11,6332.972
8,64,4096,8192,8192,8192,1,1,772630,100,t1,5,random,1,local,0,1,"0:0",128,128,1.000,45208961,22.12,10.11,6329.556
8,64,4096,8192,8192,8192,1,1,772630,100,t1,5,random,1,local,0,1,"0:0",128,128,0.999,45181220,22.12,10.11,6333.442
8,64,4096,8192,8192,8192,1,1,772630,100,t1,5,random,1,local,0,1,"0:0",128,128,0.999,45181618,22.12,10.11,6333.386
8,64,4096,8192,8192,8192,1,1,772630,100,t1,5,random,1,local,0,1,"0:0",128,128,0.999,45179239,22.12,10.10,6333.720
8,64,4096,8192,8192,8192,1,1,773255,100,t2,5,random,1,local,0,1,"0:0",128,128,1.000,45221361,22.12,10.11,6332.939
8,64,4096,8192,8192,8192,1,1,773255,100,t2,5,random,1,local,0,1,"0:0",128,128,1.000,45223755,22.12,10.11,6332.604
8,64,4096,8192,8192,8192,1,1,773255,100,t2,5,random,1,local,0,1,"0:0",128,128,1.000,45222991,22.12,10.11,6332.711
8,64,4096,8192,8192,8192,1,1,773255,100,t2,5,random,1,local,0,1,"0:0",128,128,1.000,45217654,22.12,10.11,6333.458
8,64,4096,8192,8192,8192,1,1,773255,100,t2,5,random,1,local,0,1,"0:0",128,128,1.000,45225612,22.12,10.11,6332.344
8,64,4096,8192,8192,8192,1,1,773015,100,none,5,forward,1,local,0,1,"0:0",128,128,1.011,45693917,22.12,10.21,6265.500
8,64,4096,8192,8192,8192,1,1,773015,100,none,5,forward,1,local,0,1,"0:0",128,128,1.011,45687808,22.12,10.21,6266.338
8,64,4096,8192,8192,8192,1,1,773015,100,none,5,forward,1,local,0,1,"0:0",128,128,1.011,45692703,22.12,10.21,6265.666
8,64,4096,8192,8192,8192,1,1,773015,100,none,5,forward,1,local,0,1,"0:0",128,128,1.011,45687774,22.12,10.21,6266.342
8,64,4096,8192,8192,8192,1,1,773015,100,none,5,forward,1,local,0,1,"0:0",128,128,1.011,45695224,22.12,10.21,6265.321
8,64,4096,8192,8192,8192,1,1,773139,100,nta,5,forward,1,local,0,1,"0:0",128,128,1.000,44285200,22.58,10.11,6332.527
8,64,4096,8192,8192,8192,1,1,773139,100,nta,5,forward,1,local,0,1,"0:0",128,128,1.000,44280995,22.58,10.11,6333.128
