faults;6716;6733;6767;6801;6837;6716;;6716;1;1.01;1.01;1.02;;;;;faults;6716;1.002531269;1.007593806;1.012656343;1.018016677;;;faults;6716;6733;6767;6801;6837;6716;;;;;;
migrations;7;16;31;48;64;7;;7;2.29;4.43;6.86;9.14;;;;;migrations;7;2.285714286;4.428571429;6.857142857;9.142857143;;;migrations;7;16;31;48;64;7;;;;;;
time;24.93808159;17.56129448;15.64041183;15.16685108;14.83130205;14.83130205;;1.68;1.18;1.05;1.02;14.83;;;;;time;1.681449242;1.18406964;1.054554198;1.022624381;14.83130205;;;time;24.93808159;17.56129448;15.64041183;15.16685108;14.83130205;14.83130205;;;;;;
;10;10;10;10;10;10;;10;10;10;10;10;;;;;;10;10;10;10;10;;;;10;10;10;10;10;10;;;;;;
copy;30978.6;50770.3;72921.3;76400.7;80214.6;30978.6;;30978.6;1.64;2.35;2.47;2.59;;;;;copy;30978.6;1.638882971;2.353924968;2.466241212;2.589355232;;;copy;30978.6;50770.3;72921.3;76400.7;80214.6;30978.6;;;;;;
scale;29428.4;50380.2;72156;76580.7;80103.6;29428.4;;29428.4;1.71;2.45;2.6;2.72;;;;;scale;29428.4;1.711958516;2.451917196;2.602271955;2.721982847;;;scale;29428.4;50380.2;72156;76580.7;80103.6;29428.4;;;;;;
add;24771.9;45612.7;66809.4;79127.1;85744.2;24771.9;;24771.9;1.84;2.7;3.19;3.46;;;;;add;24771.9;1.841308095;2.696983275;3.194228138;3.461349351;;;add;24771.9;45612.7;66809.4;79127.1;85744.2;24771.9;;;;;;
triad;26350.7;46654.4;68186.4;78275.8;85155.8;26350.7;;26350.7;1.77;2.59;2.97;3.23;;;;;triad;26350.7;1.77051843;2.587650423;2.970539682;3.231633315;;;triad;26350.7;46654.4;68186.4;78275.8;85155.8;26350.7;;;;;;
cycles;8.70E+11;8.53E+11;1.17E+12;1.56E+12;1.95E+12;8.53E+11;;1.02;8.53203E+11;1.37;1.83;2.29;;;;;cycles;1.019322737;8.53E+11;1.370050822;1.82822122;2.285015486;;;cycles;8.70E+11;8.53E+11;1.17E+12;1.56E+12;1.95E+12;8.53E+11;;;;;;
instructions;3.44E+11;3.39E+11;3.40E+11;3.55E+11;3.50E+11;3.39E+11;;1.01;3.39157E+11;1;1.05;1.03;;;;;instructions;1.014423034;3.39E+11;1.003036026;1.045388796;1.030875123;;;instructions;3.44E+11;3.39E+11;3.40E+11;3.55E+11;3.50E+11;3.39E+11;;;;;;
cache-misses;85553355;89959152;110672321;102737691;121156928;85553355;;85553355;1.05;1.29;1.2;1.42;;;;;cache-misses;85553355;1.051497653;1.293605856;1.200861042;1.416156362;;;cache-misses;85553355;89959152;110672321;102737691;121156928;85553355;;;;;;
