8 nodes available
memory interleaved on 0 3 5,STREAM,Copy,3784.30,MB/s,Scale,4319.58,MB/s,Add,4943.36,MB/s,Triad,3868.54,MB/s
memory interleaved on 1 3 5,STREAM,Copy,3694.13,MB/s,Scale,4551.08,MB/s,Add,5001.06,MB/s,Triad,4111.90,MB/s
memory interleaved on 0 1 3 5,STREAM,Copy,4442.37,MB/s,Scale,4436.25,MB/s,Add,5335.40,MB/s,Triad,4074.48,MB/s
memory interleaved on 2 3 5,STREAM,Copy,3882.69,MB/s,Scale,4392.18,MB/s,Add,4871.84,MB/s,Triad,4021.22,MB/s
memory interleaved on 0 2 3 5,STREAM,Copy,4397.21,MB/s,Scale,4399.04,MB/s,Add,5247.08,MB/s,Triad,4033.36,MB/s
memory interleaved on 1 2 3 5,STREAM,Copy,4572.33,MB/s,Scale,4579.22,MB/s,Add,5424.49,MB/s,Triad,4277.30,MB/s
memory interleaved on 0 1 2 3 5,STREAM,Copy,4520.88,MB/s,Scale,4513.91,MB/s,Add,5388.15,MB/s,Triad,4176.58,MB/s
memory interleaved on 4 5,STREAM,Copy,3260.95,MB/s,Scale,3264.73,MB/s,Add,3613.55,MB/s,Triad,3444.69,MB/s
memory interleaved on 0 4 5,STREAM,Copy,3150.82,MB/s,Scale,4071.30,MB/s,Add,4293.83,MB/s,Triad,3668.32,MB/s
memory interleaved on 1 4 5,STREAM,Copy,3081.03,MB/s,Scale,4230.93,MB/s,Add,4325.04,MB/s,Triad,3854.63,MB/s
memory interleaved on 0 1 4 5,STREAM,Copy,4225.30,MB/s,Scale,4237.75,MB/s,Add,5189.04,MB/s,Triad,4031.22,MB/s
memory interleaved on 2 4 5,STREAM,Copy,3277.99,MB/s,Scale,4239.86,MB/s,Add,4436.14,MB/s,Triad,3883.10,MB/s
memory interleaved on 0 2 4 5,STREAM,Copy,4255.37,MB/s,Scale,4266.49,MB/s,Add,5218.72,MB/s,Triad,4048.59,MB/s
memory interleaved on 1 2 4 5,STREAM,Copy,4392.65,MB/s,Scale,4412.67,MB/s,Add,5391.94,MB/s,Triad,4296.63,MB/s
memory interleaved on 0 1 2 4 5,STREAM,Copy,4383.73,MB/s,Scale,4386.53,MB/s,Add,5329.29,MB/s,Triad,4169.87,MB/s
memory interleaved on 3 4 5,STREAM,Copy,3158.68,MB/s,Scale,4085.03,MB/s,Add,4308.59,MB/s,Triad,3671.37,MB/s
memory interleaved on 0 3 4 5,STREAM,Copy,4120.48,MB/s,Scale,4137.47,MB/s,Add,5061.08,MB/s,Triad,3843.58,MB/s
memory interleaved on 1 3 4 5,STREAM,Copy,4248.90,MB/s,Scale,4260.27,MB/s,Add,5222.77,MB/s,Triad,4047.15,MB/s
memory interleaved on 0 1 3 4 5,STREAM,Copy,4252.62,MB/s,Scale,4258.20,MB/s,Add,5186.78,MB/s,Triad,3975.69,MB/s
memory interleaved on 2 3 4 5,STREAM,Copy,4186.51,MB/s,Scale,4201.10,MB/s,Add,5125.81,MB/s,Triad,3993.82,MB/s
memory interleaved on 0 2 3 4 5,STREAM,Copy,4235.26,MB/s,Scale,4238.06,MB/s,Add,5150.41,MB/s,Triad,3957.67,MB/s
memory interleaved on 1 2 3 4 5,STREAM,Copy,4346.47,MB/s,Scale,4343.87,MB/s,Add,5285.64,MB/s,Triad,4129.23,MB/s
memory interleaved on 0 1 2 3 4 5,STREAM,Copy,4337.72,MB/s,Scale,4296.80,MB/s,Add,5252.67,MB/s,Triad,4048.07,MB/s
memory interleaved on 0 6,STREAM,Copy,4458.20,MB/s,Scale,4436.73,MB/s,Add,5127.11,MB/s,Triad,4083.38,MB/s
memory interleaved on 1 6,STREAM,Copy,4591.61,MB/s,Scale,4597.75,MB/s,Add,5245.98,MB/s,Triad,4590.48,MB/s
memory interleaved on 0 1 6,STREAM,Copy,4096.13,MB/s,Scale,4562.82,MB/s,Add,5176.29,MB/s,Triad,4206.84,MB/s
memory interleaved on 2 6,STREAM,Copy,4974.99,MB/s,Scale,4975.76,MB/s,Add,5809.31,MB/s,Triad,4742.76,MB/s
memory interleaved on 0 2 6,STREAM,Copy,4535.05,MB/s,Scale,4687.50,MB/s,Add,5473.22,MB/s,Triad,4295.98,MB/s
memory interleaved on 1 2 6,STREAM,Copy,4426.75,MB/s,Scale,5028.53,MB/s,Add,5592.64,MB/s,Triad,4692.18,MB/s
memory interleaved on 0 1 2 6,STREAM,Copy,4729.74,MB/s,Scale,4718.12,MB/s,Add,5605.08,MB/s,Triad,4404.02,MB/s
memory interleaved on 3 6,STREAM,Copy,4529.23,MB/s,Scale,4499.81,MB/s,Add,5334.93,MB/s,Triad,4118.22,MB/s
memory interleaved on 0 3 6,STREAM,Copy,4285.53,MB/s,Scale,4415.31,MB/s,Add,5209.75,MB/s,Triad,3975.79,MB/s
memory interleaved on 1 3 6,STREAM,Copy,4188.69,MB/s,Scale,4682.63,MB/s,Add,5324.83,MB/s,Triad,4266.32,MB/s
memory interleaved on 0 1 3 6,STREAM,Copy,4529.67,MB/s,Scale,4515.78,MB/s,Add,5402.77,MB/s,Triad,4129.99,MB/s
memory interleaved on 2 3 6,STREAM,Copy,4400.94,MB/s,Scale,4509.11,MB/s,Add,5164.79,MB/s,Triad,4169.87,MB/s
memory interleaved on 0 2 3 6,STREAM,Copy,4486.99,MB/s,Scale,4480.23,MB/s,Add,5313.96,MB/s,Triad,4089.12,MB/s
memory interleaved on 1 2 3 6,STREAM,Copy,4681.00,MB/s,Scale,4678.65,MB/s,Add,5512.09,MB/s,Triad,4353.72,MB/s
memory interleaved on 0 1 2 3 6,STREAM,Copy,4598.72,MB/s,Scale,4585.92,MB/s,Add,5449.69,MB/s,Triad,4228.91,MB/s
memory interleaved on 4 6,STREAM,Copy,3605.92,MB/s,Scale,3608.51,MB/s,Add,3907.41,MB/s,Triad,3615.37,MB/s
